Site.ID,Location,Lat,Long,Valid_from,AdjustedLat,AdjustedLong
11774,NOR,60.788035,4.685322,4/18/2007 2:00:00 AM,60.788035,3.935322
11779,NOR,61.880023,5.122588,4/27/2007 2:00:00 AM,61.880023,4.372588
13044,NOR,61.789131,4.902421,4/27/2007 2:00:00 AM,61.789131,4.102421
11799,NOR,61.834292,5.126468,4/27/2007 2:00:00 AM,61.809292,4.376468
22975,NOR,61.900936,5.607665,4/27/2007 2:00:00 AM,61.87,4.5
10316,NOR,61.799309,4.882069,4/27/2007 2:00:00 AM,61.799309,4.082069
10320,NOR,61.87619,5.178286,4/27/2007 2:00:00 AM,61.87619,4.428286
18899,NOR,60.472079,5.712489,5/3/2007 2:00:00 AM,60.55,4.45
10337,NOR,60.431221,5.623897,5/3/2007 2:00:00 AM,60.55,4.45
10429,NOR,65.479268,12.176973,5/10/2007 2:00:00 AM,65.479268,11.426973
10279,NOR,70.242267,23.348907,5/10/2007 2:00:00 AM,70.8,22.4
10810,NOR,70.244607,23.3757,5/10/2007 2:00:00 AM,70.8,22.4
10583,NOR,58.030063,7.003536,5/10/2007 2:00:00 AM,57.780063,6.903536
10792,NOR,70.150103,23.259228,5/10/2007 2:00:00 AM,70.8,22.4
13277,NOR,65.126973,12.11423,5/11/2007 2:00:00 AM,65.126973,11.36423
12388,NOR,63.744305,8.550228,5/11/2007 2:00:00 AM,63.744305,7.800228
16235,NOR,64.864178,10.850574,5/11/2007 2:00:00 AM,64.864178,10.100574
22936,NOR,63.800939,8.581807,5/18/2007 2:00:00 AM,63.800939,7.831807
13923,NOR,66.394068,12.907266,5/21/2007 2:00:00 AM,66.394068,12.157266
10966,NOR,65.824675,12.579281,5/22/2007 2:00:00 AM,65.824675,11.829281
11089,NOR,66.65339,12.971325,5/22/2007 2:00:00 AM,66.65339,12.221325
12874,NOR,63.070475,7.705665,6/19/2007 2:00:00 AM,63.070475,6.955665
11945,NOR,59.197492,5.960265,6/25/2007 2:00:00 AM,59.197492,5.060265
14055,NOR,62.014802,5.317719,7/17/2007 2:00:00 AM,62.014802,4.517719
13500,NOR,62.001955,5.307803,7/17/2007 2:00:00 AM,62.001955,4.507803
10719,NOR,70.11129,20.773491,8/15/2007 2:00:00 AM,70.61129,20.923491
19916,NOR,70.065289,20.616311,8/15/2007 2:00:00 AM,70.515289,20.616311
13232,NOR,59.964036,5.88488,8/22/2007 2:00:00 AM,59.964036,5.13488
11025,NOR,65.99207,12.1821,8/23/2007 2:00:00 AM,65.99207,11.4321
12256,NOR,62.476914,6.767184,8/24/2007 2:00:00 AM,62.41,5.7
12276,NOR,62.532157,6.428647,8/24/2007 2:00:00 AM,62.507157,5.678647
12254,NOR,62.460488,6.807198,8/24/2007 2:00:00 AM,62.41,5.7
10401,NOR,64.283052,10.397843,9/5/2007 2:00:00 AM,64.283052,9.497843
19583,NOR,60.247328,5.142002,9/14/2007 2:00:00 AM,60.247328,4.392002
12090,NOR,59.819875,5.984009,9/14/2007 2:00:00 AM,59.819875,4.834009
12226,NOR,61.501231,5.687046,9/14/2007 2:00:00 AM,61.48,4.51
12228,NOR,61.485929,5.649207,9/14/2007 2:00:00 AM,61.48,4.51
12106,NOR,59.710133,5.864061,9/17/2007 2:00:00 AM,59.710133,5.014061
13393,NOR,59.660363,5.529475,9/17/2007 2:00:00 AM,59.760363,4.779475
12902,NOR,62.986464,8.268301,9/20/2007 2:00:00 AM,63.15,7.1
13258,NOR,62.983005,8.279812,9/20/2007 2:00:00 AM,63.15,7.1
