Site.ID,Location,Lat,Long,Date.Registered,Producing.in.Last.3.Years,AdjustedLat,AdjustedLong
FS0695,SCOT,56.59315972,-5.381251268,18-Sep-87,Yes,56.59315972,-6.381251268
FS0183,SCOT,60.40900942,-1.419127183,29-Sep-87,Yes,60.40900942,-1.419127183
FS0699,SCOT,60.33479184,-1.143335049,14-Oct-87,Yes,60.33479184,-1.143335049
FS0717,SCOT,60.75143855,-0.79650418,15-Oct-87,Yes,60.75143855,-0.79650418
FS0449,SCOT,60.75621863,-0.829355506,15-Oct-87,Yes,60.75621863,-0.829355506
FS0710,SCOT,60.64438244,-0.98884657,15-Oct-87,Yes,60.64438244,-0.98884657
FS0708,SCOT,57.41854547,-6.156942603,15-Oct-87,Yes,57.41854547,-7.056942603
FS0252,SCOT,57.28232683,-6.060187071,31-Oct-87,Yes,57.28232683,-6.960187071
FS0745,SCOT,56.55101131,-5.475150388,09-Jan-88,Yes,56.55101131,-6.475150388
FS0292,SCOT,60.4292507,-1.171731616,15-Jan-88,Yes,60.4292507,-1.171731616
FS0767,SCOT,55.83522383,-5.350256526,31-Jan-88,Yes,55.83522383,-7.350256526
FS0039,SCOT,60.50785997,-1.439209429,26-Feb-88,Yes,60.50785997,-1.639209429
FS0031,SCOT,58.8601169,-3.211750948,29-Feb-88,Yes,58.8601169,-3.011750948
FS0804,SCOT,57.37866326,-5.67632935,19-Apr-88,Yes,57.37866326,-5.67632935
FS0487,SCOT,58.25089746,-5.201923509,10-Sep-88,Yes,58.25089746,-6.301923509
FS0752,SCOT,58.23272188,-6.811206883,06-Oct-88,Yes,58.23272188,-7.711206883
FS0796,SCOT,57.55621786,-7.196822954,07-Dec-88,Yes,57.55621786,-7.096822954
FS0764,SCOT,60.35918639,-1.325762369,31-Dec-88,Yes,60.35918639,-1.525762369
FS0400,SCOT,60.2937844,-1.57854386,31-Dec-88,Yes,60.2937844,-1.77854386
FS0800,SCOT,57.46371088,-6.664439995,07-Mar-89,Yes,57.46371088,-7.664439995
FS0802,SCOT,60.63374711,-1.007459517,24-Mar-89,Yes,60.63374711,-1.007459517
FS0502,SCOT,57.88179264,-6.742197031,24-May-89,Yes,57.88179264,-6.742197031
FS0814,SCOT,60.75068798,-0.813044646,07-Jul-89,Yes,60.75068798,-0.813044646
FS0818,SCOT,56.07866356,-5.290992207,11-Aug-89,Yes,56.07866356,-5.290992207
FS0823,SCOT,59.1599659,-2.753671098,03-Sep-89,Yes,59.1599659,-2.553671098
FS0841,SCOT,57.14368971,-7.271130419,30-Apr-90,Yes,57.14368971,-7.171130419
FS0068,SCOT,58.2912734,-5.132180863,31-May-90,Yes,58.2912734,-5.332180863
FS0839,SCOT,56.46141852,-6.1653341,31-Jul-90,Yes,56.46141852,-6.1653341
FS0340,SCOT,57.39623253,-7.235765189,16-Aug-90,Yes,57.39623253,-7.135765189
FS0051,SCOT,57.48506777,-7.198381591,30-Oct-90,Yes,57.48506777,-7.098381591
FS0567,SCOT,56.1529316,-5.16687961,27-Feb-91,Yes,56.1529316,-6.16687961
FS0749,SCOT,60.06454723,-1.301242515,26-Mar-91,Yes,60.06454723,-1.501242515
FS0850,SCOT,60.07529253,-1.295624519,26-Mar-91,Yes,60.07529253,-1.495624519
FS0851,SCOT,55.97626141,-5.354434115,30-Apr-91,Yes,55.97626141,-6.354434115
FS0054,SCOT,58.87174012,-3.217360164,30-May-91,Yes,58.87174012,-3.017360164
FS0853,SCOT,57.61598701,-7.121537066,12-Jun-91,Yes,57.61598701,-7.021537066
FS0608,SCOT,60.38942453,-1.121944093,04-Jul-91,Yes,60.38942453,-0.921944093
FS0451,SCOT,60.67227943,-0.883650551,31-Jul-91,Yes,60.67227943,-0.883650551
FS0860,SCOT,59.07570356,-2.872188684,30-Sep-91,Yes,59.07570356,-2.872188684
FS0408,SCOT,60.41919182,-1.142932919,30-Nov-91,Yes,60.41919182,-0.942932919
FS0865,SCOT,57.12793777,-7.239102246,04-Dec-91,Yes,57.12793777,-7.139102246
FS0785,SCOT,60.12683191,-1.366513269,31-Dec-91,Yes,60.12683191,-1.366513269
FS0869,SCOT,56.76826005,-5.881625845,14-May-92,Yes,56.76826005,-6.881625845
FS0871,SCOT,60.66258649,-0.90594196,22-May-92,Yes,60.66258649,-0.90594196
FS0875,SCOT,56.50266423,-5.499983666,24-Jun-92,Yes,56.50266423,-5.499983666
FS0894,SCOT,55.86218726,-5.317408784,01-Apr-93,Yes,55.86218726,-5.317408784
FS0896,SCOT,60.67289775,-0.960499167,12-May-93,Yes,60.67289775,-0.960499167
FS0903,SCOT,60.40943213,-1.161343117,16-Jul-93,Yes,60.40943213,-0.961343117
FS0908,SCOT,59.00929185,-2.990643203,19-Oct-93,Yes,59.00929185,-2.790643203
FS0933,SCOT,58.24943386,-5.259754851,29-Oct-93,Yes,58.24943386,-5.459754851
FS0914,SCOT,56.50868756,-5.541188081,31-Dec-93,Yes,56.50868756,-6.541188081
FS0858,SCOT,58.01132674,-5.427728437,19-Feb-94,Yes,58.01132674,-5.627728437
FS0336,SCOT,55.70429843,-5.713228266,31-Mar-94,Yes,55.70429843,-5.713228266
FS0359,SCOT,58.48602739,-4.667306616,24-Apr-94,Yes,58.48602739,-5.867306616
FS0361,SCOT,58.52101557,-4.669963597,24-Apr-94,Yes,58.52101557,-4.669963597
FS0927,SCOT,58.21492877,-6.876980608,19-Oct-94,Yes,58.21492877,-6.876980608
FS0936,SCOT,60.18786659,-1.361732146,05-Nov-94,Yes,60.18786659,-1.361732146
FS0937,SCOT,60.148129,-1.315678777,31-Dec-94,Yes,60.148129,-1.515678777
FS0813,SCOT,59.04960341,-3.004005649,14-Jan-95,Yes,59.04960341,-3.004005649
FS0941,SCOT,57.85811395,-5.635749896,03-Feb-95,Yes,57.85811395,-5.835749896
FS0946,SCOT,60.34834537,-1.025201147,15-Mar-95,Yes,60.34834537,-0.825201147
FS0948,SCOT,60.17529712,-1.361975917,19-Apr-95,Yes,60.17529712,-1.361975917
FS0954,SCOT,58.10955479,-6.412211169,03-May-95,Yes,58.10955479,-6.212211169
